iter	Passed	Remaining
1143	27287	8491
1144	27310	8467
1145	27334	8443
1146	27357	8419
1147	27380	8395
1148	27405	8371
1149	27430	8348
1150	27453	8324
1151	27475	8299
1152	27497	8275
1153	27521	8251
1154	27545	8227
1155	27567	8203
1156	27590	8179
1157	27614	8155
1158	27637	8131
1159	27660	8107
1160	27683	8083
1161	27705	8058
1162	27728	8034
1163	27751	8010
1164	27774	7986
1165	27797	7962
1166	27821	7938
1167	27845	7914
1168	27865	7890
1169	27889	7866
1170	27912	7842
1171	27935	7818
1172	27958	7793
1173	27979	7769
1174	27999	7744
1175	28021	7720
1176	28047	7697
1177	28079	7675
1178	28113	7654
1179	28148	7633
1180	28182	7612
1181	28209	7589
1182	28238	7566
1183	28263	7543
1184	28286	7519
1185	28308	7494
1186	28331	7470
1187	28350	7445
1188	28374	7421
1189	28396	7397
1190	28419	7373
1191	28441	7348
1192	28463	7324
1193	28485	7300
1194	28506	7275
1195	28529	7251
1196	28551	7227
1197	28573	7202
1198	28596	7178
1199	28619	7154
1200	28640	7130
1201	28661	7105
1202	28684	7081
1203	28706	7057
1204	28729	7033
1205	28753	7009
1206	28777	6985
1207	28802	6962
1208	28827	6938
1209	28851	6914
1210	28874	6890
1211	28897	6866
1212	28919	6842
1213	28942	6818
1214	28965	6794
1215	28988	6770
1216	29011	6746
1217	29035	6722
1218	29059	6698
1219	29090	6676
1220	29120	6654
1221	29151	6631
1222	29177	6608
1223	29201	6584
1224	29225	6560
1225	29247	6536
1226	29269	6512
1227	29292	6488
1228	29314	6464
1229	29337	6440
1230	29360	6415
1231	29384	6391
1232	29408	6368
1233	29430	6343
1234	29450	6319
1235	29471	6294
1236	29492	6270
1237	29515	6246
1238	29539	6222
1239	29561	6198
1240	29584	6174
1241	29608	6150
1242	29632	6126
1243	29654	6102
1244	29677	6078
1245	29701	6054
1246	29724	6030
1247	29747	6006
1248	29767	5982
1249	29790	5958
1250	29820	5935
1251	29847	5912
1252	29869	5888
1253	29888	5863
1254	29910	5839
1255	29933	5815
1256	29954	5790
1257	29975	5766
1258	29997	5742
1259	30021	5718
1260	30045	5694
1261	30067	5670
1262	30089	5646
1263	30111	5622
1264	30135	5598
1265	30158	5574
1266	30183	5550
1267	30210	5527
1268	30236	5504
1269	30264	5480
1270	30289	5457
1271	30314	5433
1272	30341	5410
1273	30365	5386
1274	30387	5362
1275	30410	5338
1276	30434	5314
1277	30457	5290
1278	30481	5266
1279	30504	5242
1280	30531	5219
1281	30557	5196
1282	30578	5171
1283	30605	5148
1284	30633	5125
1285	30659	5102
1286	30683	5078
1287	30705	5053
1288	30727	5029
1289	30750	5005
1290	30775	4982
1291	30800	4958
1292	30822	4934
1293	30842	4910
1294	30864	4885
1295	30883	4861
1296	30904	4837
1297	30926	4812
1298	30949	4788
1299	30971	4764
1300	30992	4740
1301	31016	4716
1302	31038	4692
1303	31065	4669
1304	31091	4645
1305	31120	4622
1306	31143	4598
1307	31165	4574
1308	31188	4550
1309	31213	4527
1310	31235	4503
1311	31257	4479
1312	31281	4455
1313	31302	4430
1314	31322	4406
1315	31343	4382
1316	31365	4358
1317	31387	4334
1318	31410	4310
1319	31431	4286
1320	31452	4261
1321	31473	4237
1322	31492	4213
1323	31512	4188
1324	31536	4165
1325	31556	4140
1326	31579	4117
1327	31606	4093
1328	31632	4070
1329	31657	4046
1330	31679	4022
1331	31705	3998
1332	31727	3974
1333	31749	3950
1334	31774	3927
1335	31797	3903
1336	31820	3879
1337	31843	3855
1338	31866	3831
1339	31889	3807
1340	31913	3783
1341	31937	3760
1342	31961	3736
1343	31982	3712
1344	32005	3688
1345	32027	3664
1346	32049	3640
1347	32073	3616
1348	32096	3592
1349	32121	3569
1350	32144	3545
1351	32167	3521
1352	32189	3497
1353	32213	3473
1354	32241	3450
1355	32269	3426
1356	32296	3403
1357	32323	3379
1358	32350	3356
1359	32371	3332
1360	32394	3308
1361	32419	3284
1362	32442	3260
1363	32464	3236
1364	32488	3213
1365	32511	3189
1366	32534	3165
1367	32558	3141
1368	32580	3117
1369	32602	3093
1370	32625	3069
1371	32648	3045
1372	32672	3022
1373	32694	2998
1374	32718	2974
1375	32739	2950
1376	32762	2926
1377	32789	2903
1378	32815	2879
1379	32838	2855
1380	32861	2831
1381	32885	2807
1382	32914	2784
1383	32945	2761
1384	32974	2737
1385	33003	2714
1386	33032	2691
1387	33062	2667
1388	33087	2644
1389	33112	2620
1390	33141	2596
1391	33171	2573
1392	33198	2550
1393	33227	2526
1394	33256	2503
1395	33287	2479
1396	33311	2456
1397	33336	2432
1398	33359	2408
1399	33383	2384
1400	33410	2360
1401	33436	2337
1402	33468	2313
1403	33500	2290
1404	33530	2267
1405	33560	2243
1406	33592	2220
1407	33624	2197
1408	33655	2173
1409	33682	2149
